"tokenId","sender","price","timestamp"
"OTK070-134","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","19uusd","2022-04-22T20:01:11Z"
"OTK122-177","terra1pzx4ghefhqzh6xy8czgmkhvf8hrfntznfg58vf","9uusd","2022-04-22T20:00:17Z"
"OTK073-144","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","25uusd","2022-04-22T19:59:45Z"
"OTK136-40","terra1f88r0zssdr3fqhtge803mxf2ed2evm9pk47a63","55uusd","2022-04-22T19:55:08Z"
"OTK098-102","terra1a9pue6q97fvsfjegajhxsv74x8t0yx5dqrue5l","7.99uusd","2022-04-22T19:47:25Z"
"OTK136-111","terra1252u8yqheu83n4xcdtvt6vt34q68uh2us385de","40uusd","2022-04-22T19:45:25Z"
"OTK099-496","terra1a9pue6q97fvsfjegajhxsv74x8t0yx5dqrue5l","7uusd","2022-04-22T19:44:53Z"
"OTK066-48","terra104qj7xf5rjjnthugmqkgxuv3xz7dvf64c38wdv","40uusd","2022-04-22T19:40:40Z"
"OTK073-29","terra104qj7xf5rjjnthugmqkgxuv3xz7dvf64c38wdv","22uusd","2022-04-22T19:40:08Z"
"OTK150-101","terra1xta2dpgtncvu0vwt4a87ed745s7psc0jdxgsqh","7.49uusd","2022-04-22T19:36:52Z"
"OTK036-94","terra104qj7xf5rjjnthugmqkgxuv3xz7dvf64c38wdv","60uusd","2022-04-22T19:36:26Z"
"OTK124-2","terra1uy3yqel8rg7ysnytza7sq9ausvl9ch54qtnytn","1600uusd","2022-04-22T19:34:23Z"
"OTK050-62","terra104qj7xf5rjjnthugmqkgxuv3xz7dvf64c38wdv","60uusd","2022-04-22T19:34:10Z"
"OTK147-12","terra1xta2dpgtncvu0vwt4a87ed745s7psc0jdxgsqh","25uusd","2022-04-22T19:07:03Z"
"OTK048-65","terra1uy3yqel8rg7ysnytza7sq9ausvl9ch54qtnytn","80uusd","2022-04-22T19:05:07Z"
"OTK097-107","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","8.99uusd","2022-04-22T18:59:40Z"
"OTK162-101","terra1xta2dpgtncvu0vwt4a87ed745s7psc0jdxgsqh","9.5uusd","2022-04-22T18:57:34Z"
"OTK109-105","terra1cqk7jkdsdv54glf89n7dns75mewf78xzzpaecj","8uusd","2022-04-22T18:57:34Z"
"OTK087-13","terra1xta2dpgtncvu0vwt4a87ed745s7psc0jdxgsqh","35uusd","2022-04-22T18:46:43Z"
